"","key_0","term","count","marca"
"442","s1015.nmf","atendimento",1,1
"443","s1015.nmf","boa",2,1
"444","s1015.nmf","casa",1,1
"445","s1015.nmf","com",1,1
"446","s1015.nmf","concluiu",2,1
"447","s1015.nmf","confirmado",1,1
"448","s1015.nmf","daiane",1,1
"449","s1015.nmf","dia",1,1
"450","s1015.nmf","entendi",1,1
"451","s1015.nmf","especializado",1,1
"452","s1015.nmf","estou",1,1
"453","s1015.nmf","falo",1,1
"454","s1015.nmf","hora",1,1
"455","s1015.nmf","ligar",1,1
"456","s1015.nmf","ligaÃ",1,1
"457","s1015.nmf","mudando",1,1
"458","s1015.nmf","noite",2,1
"459","s1015.nmf","osasco",1,1
"460","s1015.nmf","porque",2,1
"461","s1015.nmf","que",1,1
"462","s1015.nmf","quem",1,1
"463","s1015.nmf","telefone",1,1
"464","s1016.nmf","atendimento",1,1
"465","s1016.nmf","boa",1,1
"466","s1016.nmf","com",1,1
"467","s1016.nmf","como",2,1
"468","s1016.nmf","dia",1,1
"469","s1016.nmf","especializado",1,1
"470","s1016.nmf","falo",1,1
"471","s1016.nmf","gostaria",1,1
"472","s1016.nmf","mais",1,1
"473","s1016.nmf","meu",3,1
"474","s1016.nmf","noite",1,1
"475","s1016.nmf","nove",1,1
"476","s1016.nmf","olhando",1,1
"477","s1016.nmf","plano",2,1
"478","s1016.nmf","por",1,1
"479","s1016.nmf","porque",1,1
"480","s1016.nmf","primeiro",1,1
"481","s1016.nmf","que",3,1
"482","s1016.nmf","quem",1,1
"483","s1016.nmf","queria",1,1
"484","s1016.nmf","renovar",1,1
"485","s1016.nmf","saber",2,1
"486","s1016.nmf","seguinte",1,1
"487","s1016.nmf","tinha",1,1
"488","s1016.nmf","tive",1,1
"489","s1016.nmf","todo",1,1
"490","s1016.nmf","vai",1,1
"491","s1016.nmf","vencer",1,1
"492","s1017.nmf","aguardar",1,1
"493","s1017.nmf","atendimento",1,1
"494","s1017.nmf","caiu",1,1
"495","s1017.nmf","caso",1,1
"496","s1017.nmf","copa",1,1
"497","s1017.nmf","demora",1,1
"498","s1017.nmf","estÃ",1,1
"499","s1017.nmf","falei",1,1
"500","s1017.nmf","falo",1,1
"501","s1017.nmf","fatura",1,1
"502","s1017.nmf","faz",1,1
"503","s1017.nmf","gentileza",1,1
"504","s1017.nmf","hoje",1,1
"505","s1017.nmf","informar",1,1
"506","s1017.nmf","ligaÃ",1,1
"507","s1017.nmf","mero",1,1
"508","s1017.nmf","mim",1,1
"509","s1017.nmf","obrigado",1,1
"510","s1017.nmf","para",1,1
"511","s1017.nmf","patrulha",1,1
"512","s1017.nmf","pode",1,1
"513","s1017.nmf","por",2,1
"514","s1017.nmf","processo",1,1
"515","s1017.nmf","que",1,1
"516","s1017.nmf","quer",1,1
"517","s1017.nmf","retornando",1,1
"518","s1017.nmf","sair",1,1
"519","s1017.nmf","tempo",1,1
"520","s1017.nmf","valor",1,1
"521","s1017.nmf","vindo",1,1
"522","s1017.nmf","vocÃ",1,1
"523","s1018.nmf","acordo",1,1
"524","s1018.nmf","aqui",1,1
"525","s1018.nmf","boa",1,1
"526","s1018.nmf","casa",1,1
"527","s1018.nmf","cedo",1,1
"528","s1018.nmf","chego",1,1
"529","s1018.nmf","com",1,1
"530","s1018.nmf","compra",1,1
"531","s1018.nmf","especialista",1,1
"532","s1018.nmf","esse",1,1
"533","s1018.nmf","estava",1,1
"534","s1018.nmf","falo",1,1
"535","s1018.nmf","favor",1,1
"536","s1018.nmf","feito",1,1
"537","s1018.nmf","foi",1,1
"538","s1018.nmf","hora",1,1
"539","s1018.nmf","josÃ",1,1
"540","s1018.nmf","marido",2,1
"541","s1018.nmf","meu",3,1
"542","s1018.nmf","noite",1,1
"543","s1018.nmf","nome",1,1
"544","s1018.nmf","olÃ",1,1
"545","s1018.nmf","por",1,1
"546","s1018.nmf","porque",1,1
"547","s1018.nmf","que",1,1
"548","s1018.nmf","quem",1,1
"549","s1018.nmf","questionaram",1,1
"550","s1018.nmf","sou",1,1
"551","s1018.nmf","tam",1,1
"552","s1018.nmf","tentando",1,1
"553","s1018.nmf","tinha",1,1
"554","s1018.nmf","todo",1,1
"555","s1018.nmf","valor",1,1
"556","s1018.nmf","vir",1,1
"557","s1019.nmf","agora",1,1
"558","s1019.nmf","bem",1,1
"559","s1019.nmf","boa",1,1
"560","s1019.nmf","cobrando",1,1
"561","s1019.nmf","com",2,1
"562","s1019.nmf","confirma",1,1
"563","s1019.nmf","ddd",1,1
"564","s1019.nmf","depois",1,1
"565","s1019.nmf","especialista",1,1
"566","s1019.nmf","falo",1,1
"567","s1019.nmf","fatur",1,1
"568","s1019.nmf","fatura",1,1
"569","s1019.nmf","informa",1,1
"570","s1019.nmf","informar",1,1
"571","s1019.nmf","joÃ",1,1
"572","s1019.nmf","ligaÃ",1,1
"573","s1019.nmf","mero",1,1
"574","s1019.nmf","noite",1,1
"575","s1019.nmf","pedido",1,1
"576","s1019.nmf","pode",2,1
"577","s1019.nmf","que",1,1
"578","s1019.nmf","quem",1,1
"579","s1019.nmf","recebi",1,1
"580","s1019.nmf","sendo",1,1
"581","s1019.nmf","tenho",1,1
"582","s1019.nmf","tudo",1,1
"583","s1019.nmf","verificar",1,1
"584","s1019.nmf","vitor",1,1
"585","s1019.nmf","vocÃ",2,1
"586","s101.nmf","atÃ",1,1
"587","s101.nmf","bom",2,1
"588","s101.nmf","certo",1,1
"589","s101.nmf","com",1,1
"590","s101.nmf","completo",1,1
"591","s101.nmf","cpf",1,1
"592","s101.nmf","desde",1,1
"593","s101.nmf","dia",3,1
"594","s101.nmf","especializado",1,1
"595","s101.nmf","falar",1,1
